query acc.ver	subject acc.ver	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score
NC_015119.1:1426-2962	ADW83149.1	89.041	511	56	0	4	1536	2	512	0.0	681
NC_015119.1:1426-2962	UOU85293.1	78.824	510	108	0	4	1533	1	510	0.0	618
NC_015119.1:1426-2962	QTT60868.1	78.824	510	108	0	4	1533	2	511	0.0	617
NC_015119.1:1426-2962	UQJ73604.1	78.824	510	108	0	4	1533	2	511	0.0	617
NC_015119.1:1426-2962	UQJ73319.1	78.824	510	108	0	4	1533	2	511	0.0	617
NC_015119.1:1426-2962	YP_010564768.1	79.216	510	106	0	4	1533	1	510	0.0	617
NC_015119.1:1426-2962	UQJ73682.1	78.824	510	108	0	4	1533	2	511	0.0	616
NC_015119.1:1426-2962	XP_043071756.1	82.711	509	88	0	7	1533	1	509	0.0	616
NC_015119.1:1426-2962	UZA61119.1	79.216	510	106	0	4	1533	1	510	0.0	615
NC_015119.1:1426-2962	XP_041632320.1	81.961	510	92	0	4	1533	3	512	0.0	615
